Wall time,Step,Value
1640014097.4895463,0,0.0
1640014118.0925958,1,2.0
1640014144.0419815,2,2.0
1640014173.4624958,3,2.0
1640014202.5909312,4,2.0
1640014278.0193207,5,14.0
1640014351.97601,6,15.0
1640014410.33072,7,16.0
1640014474.3093894,8,23.0
1640014551.6588771,9,14.0
1640014642.7841735,10,20.0
1640014743.3154626,11,24.0
1640014816.6708474,12,35.0
1640014893.6421146,13,25.0
1640014968.1729407,14,23.0
1640015047.0093904,15,28.0
1640015125.9453855,16,31.0
1640015198.247208,17,25.0
1640015275.9493546,18,38.0
1640015349.1866918,19,32.0
1640015433.400807,20,20.0
1640015511.1943693,21,20.0
1640015579.7533448,22,33.0
1640015653.3362901,23,15.0
1640015743.115162,24,33.0
1640015828.756611,25,14.0
1640015911.5948765,26,25.0
1640015980.9325323,27,14.0
1640016080.4562027,28,14.0
1640016151.5865877,29,33.0
1640016238.4183822,30,25.0
1640016312.3153777,31,20.0
1640016389.8201416,32,41.0
1640016452.2104664,33,14.0
1640016528.632283,34,17.0
1640016610.3938048,35,41.0
1640016681.5782397,36,33.0
1640016732.6544552,37,32.0
1640016778.8862727,38,16.0
1640016828.1010363,39,25.0
1640016871.6047294,40,20.0
1640016917.0088599,41,20.0
1640016963.332227,42,24.0
1640017009.7538552,43,23.0
1640017055.1464944,44,14.0
1640017105.1868272,45,33.0
1640017153.3795853,46,33.0
1640017198.716753,47,25.0
1640017247.5389967,48,14.0
1640017299.9816086,49,38.0
1640017344.1111138,50,25.0
1640017394.9227138,51,25.0
1640017441.548824,52,40.0
1640017492.025593,53,38.0
1640017537.4829671,54,33.0
1640017583.5343378,55,25.0
1640017632.521555,56,41.0
1640017682.2893488,57,25.0
1640017731.0214696,58,18.0
1640017782.797922,59,41.0
1640017830.2800565,60,33.0
1640017880.656988,61,25.0
1640017927.6255023,62,33.0
1640017972.646684,63,41.0
1640018016.3447335,64,33.0
1640018064.558441,65,23.0
1640018112.2400756,66,20.0
1640018161.772334,67,33.0
1640018208.1187646,68,33.0
1640018258.8758347,69,32.0
1640018308.5003371,70,33.0
1640018356.2529564,71,41.0
1640018402.2321131,72,41.0
1640018453.9871967,73,41.0
1640018499.4797115,74,20.0
1640018551.5946364,75,18.0
1640018598.9853961,76,33.0
1640018647.582644,77,19.0
1640018696.229843,78,33.0
1640018746.139129,79,41.0
1640018795.2352502,80,25.0
1640018845.6077726,81,41.0
1640018894.2255578,82,33.0
1640018936.8473182,83,25.0
1640018984.7184377,84,31.0
1640019031.534915,85,33.0
1640019079.786953,86,41.0
1640019125.8036542,87,32.0
1640019173.6495996,88,18.0
1640019222.250187,89,32.0
1640019269.7371016,90,19.0
1640019317.3589745,91,21.0
1640019365.2548704,92,25.0
1640019408.689076,93,20.0
1640019458.4253325,94,25.0
1640019507.8979871,95,40.0
1640019556.6983244,96,33.0
1640019600.1736717,97,41.0
1640019645.9378269,98,41.0
1640019693.121806,99,18.0
1640019739.4130185,100,20.0
1640019785.0271974,101,17.0
1640019828.9555595,102,31.0
1640019879.5167603,103,13.0
1640019929.8728652,104,33.0
1640019979.3681488,105,18.0
1640020026.0531812,106,18.0
1640020073.8512354,107,18.0
1640020123.064818,108,38.0
1640020174.3978727,109,41.0
1640020224.4401467,110,22.0
1640020279.2744212,111,33.0
1640020328.5965037,112,19.0
1640020380.2215242,113,18.0
1640020425.6718886,114,25.0
1640020474.263708,115,41.0
1640020526.1326299,116,40.0
1640020577.2718444,117,14.0
1640020627.0681682,118,41.0
1640020671.7435403,119,33.0
1640020720.9466622,120,41.0
1640020767.2751489,121,33.0
1640020814.0305865,122,41.0
1640020862.9492009,123,18.0
