Wall time,Step,Value
1640014038.947342,0,0.0
1640014048.3759103,1,3.0
1640014057.8176413,2,4.0
1640014068.1807084,3,3.0
1640014085.8061078,4,5.0
1640014120.0792768,5,4.0
1640014152.7756503,6,9.0
1640014179.0253956,7,18.0
1640014203.5533788,8,18.0
1640014237.0453823,9,18.0
1640014274.7266574,10,14.0
1640014311.1453729,11,24.0
1640014341.775837,12,17.0
1640014380.9135928,13,31.0
1640014418.8333566,14,25.0
1640014455.0334558,15,25.0
1640014496.1611989,16,25.0
1640014534.1705213,17,17.0
1640014571.5725071,18,25.0
1640014611.09174,19,25.0
1640014649.6052735,20,25.0
1640014689.781352,21,25.0
1640014727.4210691,22,25.0
1640014770.0360208,23,17.0
1640014810.0493739,24,17.0
1640014865.0637546,25,25.0
1640014904.1611156,26,17.0
1640014946.2542627,27,25.0
1640014984.18816,28,25.0
1640015025.7333732,29,25.0
1640015070.7704692,30,25.0
1640015110.089395,31,17.0
1640015154.0853932,32,25.0
1640015201.2119668,33,17.0
1640015244.360477,34,25.0
1640015286.54233,35,25.0
1640015324.3413985,36,17.0
1640015366.2724588,37,25.0
1640015410.5136185,38,17.0
1640015443.193416,39,25.0
1640015485.6353333,40,25.0
1640015544.849355,41,25.0
1640015586.6610413,42,25.0
1640015626.9198318,43,17.0
1640015686.1394172,44,17.0
1640015729.4270613,45,25.0
1640015766.781408,46,25.0
