Wall time,Step,Value
1640013973.4546905,0,0.0
1640013980.9575338,1,2.0
1640013989.3819473,2,2.0
1640013995.4698522,3,3.0
1640014017.1974375,4,13.0
1640014039.229636,5,13.0
1640014061.8248684,6,23.0
1640014091.8373964,7,38.0
1640014145.553614,8,23.0
1640014186.019068,9,23.0
1640014229.509408,10,17.0
1640014275.521282,11,31.0
1640014334.15341,12,17.0
1640014382.0653741,13,31.0
1640014442.805898,14,25.0
1640014502.8653588,15,25.0
1640014567.3893824,16,16.0
1640014627.3053627,17,17.0
1640014674.8333726,18,20.0
1640014732.094612,19,33.0
1640014786.2181005,20,33.0
1640014842.8430638,21,17.0
1640014893.0734067,22,16.0
1640014957.126245,23,33.0
1640015003.696229,24,55.0
1640015072.9294064,25,33.0
1640015117.7893834,26,32.0
1640015172.5230532,27,43.0
1640015226.5933788,28,17.0
1640015272.8654099,29,47.0
1640015325.95075,30,31.0
1640015378.0888333,31,47.0
1640015425.743334,32,33.0
1640015487.7206426,33,25.0
1640015525.9604836,34,17.0
1640015575.555507,35,17.0
1640015624.4774244,36,41.0
1640015660.9173613,37,9.0
1640015713.6453903,38,17.0
1640015772.119092,39,41.0
1640015810.7210734,40,33.0
1640015855.5373852,41,41.0
1640015899.730054,42,17.0
1640015954.768266,43,17.0
1640016011.3710742,44,24.0
1640016050.0247977,45,51.0
1640016109.4980044,46,43.0
1640016149.8087604,47,33.0
1640016205.1916506,48,25.0
1640016264.5835028,49,25.0
1640016319.6733704,50,41.0
1640016358.607954,51,33.0
