Wall time,Step,Value
1640087991.4215834,0,0.0
1640087997.8403575,1,7.0
1640088005.2188687,2,15.0
1640088026.8132408,3,11.0
1640088079.464545,4,10.0
1640088136.7622516,5,30.0
1640088189.6267776,6,37.0
1640088236.448927,7,23.0
1640088266.1001494,8,30.0
1640088301.4644265,9,16.0
1640088341.1121006,10,31.0
1640088378.7846692,11,10.0
1640088422.3466156,12,31.0
1640088457.5686002,13,17.0
1640088482.464169,14,40.0
1640088511.6107533,15,17.0
1640088549.8022466,16,40.0
1640088589.41127,17,10.0
1640088627.2357993,18,17.0
1640088656.1649678,19,25.0
1640088684.404778,20,32.0
1640088714.751615,21,21.0
1640088745.3979719,22,11.0
1640088787.0874107,23,11.0
1640088820.323067,24,32.0
1640088851.340235,25,33.0
1640088880.132305,26,39.0
1640088918.883025,27,48.0
1640088956.8133187,28,17.0
1640088996.1060245,29,10.0
1640089029.0024831,30,35.0
1640089059.9812307,31,18.0
1640089097.6549675,32,24.0
1640089129.253018,33,32.0
1640089167.6744013,34,22.0
1640089203.6632981,35,9.0
1640089233.982553,36,25.0
1640089280.4179986,37,33.0
1640089315.9699743,38,33.0
1640089358.613406,39,17.0
1640089390.1938841,40,17.0
1640089418.5698223,41,47.0
1640089452.2432961,42,25.0
1640089497.141369,43,9.0
1640089533.9616425,44,31.0
1640089568.6972525,45,25.0
1640089597.7635949,46,25.0
1640089630.3803015,47,8.0
1640089668.989533,48,33.0
1640089707.6614118,49,25.0
1640089745.5976381,50,17.0
1640089780.5421834,51,33.0
1640089807.789284,52,12.0
1640089838.8903186,53,9.0
1640089874.9298325,54,24.0
1640089913.4434128,55,41.0
1640089940.3051045,56,25.0
1640089967.278862,57,17.0
1640090001.2030528,58,25.0
1640090043.7457585,59,41.0
1640090079.6630056,60,17.0
1640090105.027571,61,25.0
1640090143.5928183,62,25.0
1640090183.5071006,63,41.0
1640090224.5736995,64,25.0
1640090258.3723993,65,12.0
1640090295.656379,66,33.0
1640090334.8785017,67,25.0
1640090377.8857994,68,17.0
1640090418.204315,69,10.0
1640090451.9908423,70,33.0
1640090492.2953107,71,25.0
1640090536.8327532,72,52.0
1640090579.1174383,73,25.0
1640090606.437144,74,12.0
1640090639.7329357,75,33.0
1640090677.6778865,76,11.0
1640090717.7867894,77,17.0
1640090745.0444317,78,13.0
1640090774.3563626,79,17.0
1640090800.8482728,80,17.0
1640090842.0736647,81,25.0
1640090878.2728226,82,41.0
1640090904.7059157,83,33.0
1640090932.477526,84,33.0
1640090957.1931388,85,33.0
1640090988.1480331,86,25.0
1640091023.2330027,87,9.0
1640091056.9578652,88,23.0
1640091080.6713264,89,16.0
1640091107.2720652,90,15.0
1640091138.4537814,91,33.0
1640091168.4055336,92,48.0
1640091194.4741817,93,8.0
1640091220.5858564,94,33.0
1640091246.3085108,95,49.0
1640091277.3966205,96,33.0
1640091310.8347197,97,24.0
1640091341.6595242,98,25.0
