method,sampling,dataset,correct,wrong,mean_cost,std_cost,mean_length,std_length,mean_calls,std_calls,mean_rule,std_rule
program,100,syn_long,0.72,0.28,23.8847222222222,13.028735972225,4.06944444444444,1.26190320205554,0,0,2.33447098976109,1.59052424761907
program,200,syn_long,0.79,0.21,22.9101265822785,12.7218499862475,4.0126582278481,1.22726072339654,0,0,2.75394321766562,1.64787174757634
program,300,syn_long,0.85,0.15,21.48,13.174867339437,3.85882352941176,1.2847791403375,0,0,3.0609756097561,2.06656048034344
program,400,syn_long,0.88,0.12,21.3693181818182,12.9993562598879,3.84090909090909,1.28705410316071,0,0,3.09171597633136,2.0855637955637
program,500,syn_long,0.87,0.13,21.3781609195402,13.1088407940066,3.81609195402299,1.30012144111979,0,0,3.0210843373494,2.0171347399597
program,600,syn_long,0.9,0.1,21.51,12.9255221257101,3.85555555555556,1.28721155225041,0,0,2.93083573487032,1.92985049490139
program,700,syn_long,0.87,0.13,21.5586206896552,13.1441919495094,3.82758620689655,1.30610323782453,0,0,3.09009009009009,2.14300825389641
program,100,german,0.941176470588235,0.058823529411765,19.3125,3.50390407260245,2.84375,0.363092188706945,0,0,2.52747252747253,1.5921556286835
program,200,german,0.882352941176471,0.117647058823529,19.0666666666667,3.32599191553771,2.83333333333333,0.372677996249965,0,0,2.92941176470588,2.22175466053889
program,300,german,0.882352941176471,0.117647058823529,18.6,4.33282048247251,2.76666666666667,0.422952584681651,0,0,3.2289156626506,2.11321317158252
program,400,german,0.882352941176471,0.117647058823529,19.2666666666667,4.49394654569406,2.83333333333333,0.372677996249965,0,0,3.43529411764706,2.14994970569644
program,500,german,0.911764705882353,0.088235294117647,18.6129032258065,4.26294929978885,2.7741935483871,0.418112303123088,0,0,3.41860465116279,2.18059686878717
program,600,german,0.911764705882353,0.088235294117647,19,4.45768636648379,2.80645161290323,0.39507899077148,0,0,3,2.16024689946929
program,700,german,0.911764705882353,0.088235294117647,19.3225806451613,4.51797197419654,2.83870967741935,0.367798524225528,0,0,3.45454545454545,2.19456503719515
program,100,syn,0.92,0.08,22.3380434782609,17.8489607686232,3.90217391304348,1.64223987159039,0,0,3.01392757660167,1.24999204690171
program,200,syn,0.93,0.07,22.4537634408602,17.9960722067003,3.89247311827957,1.66211657776901,0,0,3.02486187845304,1.26007129840142
program,300,syn,0.95,0.05,22.3357894736842,17.9638403805767,3.89473684210526,1.67000588848963,0,0,3.0972972972973,1.44306102706384
program,400,syn,0.93,0.07,21.8806451612903,17.5061663978542,3.8494623655914,1.6326391100416,0,0,3.32402234636872,1.58415108456186
program,500,syn,0.98,0.02,21.5948979591837,16.9702463059163,3.85714285714286,1.59719141249985,0,0,3.45767195767196,1.65217729627124
program,600,syn,0.99,0.01,21.8949494949495,17.4661714811681,3.86868686868687,1.61836970371679,0,0,3.49869451697128,1.73562679873494
program,700,syn,0.96,0.04,21.9260416666667,17.5222611078478,3.84375,1.61585971054627,0,0,3.51761517615176,1.77313243968367
program,100,adult,0.55,0.45,36.7980578512397,9.96302110283034,3.81818181818182,0.875752333003076,0,0,4.81904761904762,1.7308459389556
program,200,adult,0.67,0.33,39.0900918733008,11.5537010283506,4.1044776119403,1.02410249542737,0,0,6.56363636363636,3.52014274691776
program,300,adult,0.7,0.3,39.8511980479838,9.30227569164293,4.08571428571429,0.840796512546409,0,0,6.63286713286713,3.73625735894577
program,400,adult,0.74,0.26,40.5022995397995,9.18938057822478,4.16216216216216,0.915733748437698,0,0,6.85064935064935,3.84485229738846
program,500,adult,0.78,0.22,39.3439464381772,10.4292928357537,4.06410256410256,0.88201028527266,0,0,8.04416403785489,3.8090800132347
program,600,adult,0.71,0.29,38.3938083043717,10.2051574570695,4.04225352112676,0.895003654384071,0,0,7.31358885017422,4.27038134205431
program,700,adult,0.73,0.27,38.0610342853494,11.4791091542215,4.01369863013699,0.957925136276553,0,0,7.64846416382253,3.68966447269541
