method,dataset,correct,mean_cost,std_cost,mean_length,std_length
mcts,syn_long,0.92,13.245714285714286,6.870447806455157,3.085714285714286,0.8407965125464092
program,syn_long,0.9,13.354285714285716,6.782892044680935,3.085714285714286,0.8741176309016202
cscf,syn_long,0.48,10.225714285714284,4.631836590822438,2.4857142857142858,0.4997958767010257
program,german,0.9411764705882353,19.322580645161292,3.5595133481635415,2.838709677419355,0.3677985242255284
mcts,german,1.0,19.64516129032258,3.605984158059902,2.870967741935484,0.3352356401746214
cscf,german,1.0,11.225806451612904,2.8251140704272664,2.129032258064516,0.3352356401746214
cscf_small,german,0.9705882352941176,11.419354838709678,3.1803245274493515,2.129032258064516,0.3352356401746214
cscf,syn,0.73,12.671739130434785,5.1434070523204865,2.891304347826087,0.7291526013586271
program,syn,0.99,13.982608695652173,7.514950442366785,3.1956521739130435,0.923593295054261
cscf_small,syn,0.48,12.91304347826087,5.419754875559698,2.891304347826087,0.7291526013586271
cscf_small,syn_long,0.4,12.697142857142856,7.1557563527269314,2.8285714285714287,0.9098104758908947
cscf_small,adult,0.62,16.05572301847812,9.136123548859246,2.306122448979592,0.5032174696301205
mcts,syn,0.98,13.082608695652175,7.803519394083507,3.0652173913043477,0.9184621814903309
cscf,adult,0.77,14.595373164250713,8.774209341147898,2.4081632653061225,0.49149365627723657
mcts,adult,0.93,32.704632045958576,12.643149453710038,3.510204081632653,0.9062695229050823
program,adult,0.78,35.65260108372353,10.813896708657857,3.693877551020408,0.837978170108074
