id,program,arguments
0,CHANGE_RELATIONSHIP,Wife
0,STOP,0
1,CHANGE_RELATIONSHIP,Wife
1,CHANGE_OCCUPATION,Prof-specialty
1,STOP,0
2,CHANGE_EDUCATION,Masters
2,CHANGE_RELATIONSHIP,Wife
2,STOP,0
4,CHANGE_RELATIONSHIP,Wife
4,CHANGE_EDUCATION,Masters
4,STOP,0
5,CHANGE_RELATIONSHIP,Wife
5,CHANGE_EDUCATION,Bachelors
5,STOP,0
7,CHANGE_EDUCATION,Doctorate
7,STOP,0
8,CHANGE_WORKCLASS,Federal-gov
8,STOP,0
9,CHANGE_WORKCLASS,Local-gov
9,STOP,0
11,CHANGE_WORKCLASS,Self-emp-inc
11,STOP,0
12,CHANGE_EDUCATION,Doctorate
12,STOP,0
14,CHANGE_RELATIONSHIP,Wife
14,STOP,0
16,CHANGE_OCCUPATION,Exec-managerial
16,STOP,0
17,CHANGE_OCCUPATION,Prof-specialty
17,STOP,0
19,CHANGE_WORKCLASS,Federal-gov
19,CHANGE_OCCUPATION,Tech-support
19,STOP,0
20,CHANGE_RELATIONSHIP,Wife
20,CHANGE_OCCUPATION,Prof-specialty
20,STOP,0
21,CHANGE_RELATIONSHIP,Wife
21,STOP,0
22,CHANGE_WORKCLASS,Federal-gov
22,STOP,0
26,CHANGE_EDUCATION,Doctorate
26,CHANGE_OCCUPATION,Tech-support
26,STOP,0
27,CHANGE_OCCUPATION,Prof-specialty
27,CHANGE_RELATIONSHIP,Wife
27,STOP,0
28,CHANGE_OCCUPATION,Craft-repair
28,STOP,0
29,CHANGE_WORKCLASS,Local-gov
29,STOP,0
30,CHANGE_OCCUPATION,Tech-support
30,STOP,0
32,CHANGE_RELATIONSHIP,Wife
32,CHANGE_OCCUPATION,Tech-support
32,STOP,0
33,CHANGE_HOURS,20
33,CHANGE_EDUCATION,Doctorate
33,CHANGE_OCCUPATION,Prof-specialty
33,STOP,0
34,CHANGE_WORKCLASS,Federal-gov
34,STOP,0
35,CHANGE_RELATIONSHIP,Wife
35,STOP,0
37,CHANGE_WORKCLASS,Self-emp-inc
37,CHANGE_RELATIONSHIP,Wife
37,STOP,0
38,CHANGE_OCCUPATION,Exec-managerial
38,CHANGE_WORKCLASS,Federal-gov
38,CHANGE_EDUCATION,Masters
38,STOP,0
40,CHANGE_RELATIONSHIP,Wife
40,STOP,0
41,CHANGE_RELATIONSHIP,Wife
41,CHANGE_OCCUPATION,Transport-moving
41,STOP,0
42,CHANGE_OCCUPATION,Tech-support
42,CHANGE_EDUCATION,Doctorate
42,STOP,0
43,CHANGE_OCCUPATION,Tech-support
43,CHANGE_EDUCATION,Doctorate
43,STOP,0
44,CHANGE_EDUCATION,Masters
