id,program,arguments
0,CHANGE_RELATIONSHIP,Wife
0,STOP,0
1,CHANGE_EDUCATION,Masters
1,STOP,0
2,CHANGE_EDUCATION,Masters
2,CHANGE_OCCUPATION,Prof-specialty
2,STOP,0
5,CHANGE_EDUCATION,Bachelors
5,CHANGE_RELATIONSHIP,Wife
5,STOP,0
7,CHANGE_EDUCATION,Doctorate
7,STOP,0
8,CHANGE_WORKCLASS,Federal-gov
8,STOP,0
9,CHANGE_WORKCLASS,Local-gov
9,STOP,0
10,CHANGE_RELATIONSHIP,Wife
10,CHANGE_EDUCATION,Masters
10,STOP,0
11,CHANGE_WORKCLASS,Self-emp-inc
11,STOP,0
12,CHANGE_EDUCATION,Doctorate
12,STOP,0
14,CHANGE_RELATIONSHIP,Wife
14,STOP,0
16,CHANGE_OCCUPATION,Exec-managerial
16,STOP,0
17,CHANGE_OCCUPATION,Tech-support
17,STOP,0
19,CHANGE_EDUCATION,12th
19,STOP,0
21,CHANGE_EDUCATION,Bachelors
21,STOP,0
22,CHANGE_WORKCLASS,Federal-gov
22,STOP,0
26,CHANGE_OCCUPATION,Prof-specialty
26,CHANGE_RELATIONSHIP,Wife
26,CHANGE_EDUCATION,Some-college
26,STOP,0
27,CHANGE_OCCUPATION,Prof-specialty
27,CHANGE_RELATIONSHIP,Wife
27,STOP,0
28,CHANGE_OCCUPATION,Craft-repair
28,STOP,0
29,CHANGE_WORKCLASS,Local-gov
29,STOP,0
30,CHANGE_OCCUPATION,Tech-support
30,STOP,0
34,CHANGE_WORKCLASS,Federal-gov
34,STOP,0
35,CHANGE_RELATIONSHIP,Wife
35,STOP,0
37,CHANGE_RELATIONSHIP,Wife
37,CHANGE_WORKCLASS,Self-emp-not-inc
37,CHANGE_OCCUPATION,Craft-repair
37,STOP,0
40,CHANGE_RELATIONSHIP,Wife
40,STOP,0
41,CHANGE_OCCUPATION,Tech-support
41,CHANGE_EDUCATION,Bachelors
41,STOP,0
45,CHANGE_WORKCLASS,Federal-gov
45,CHANGE_EDUCATION,Masters
45,STOP,0
46,CHANGE_RELATIONSHIP,Wife
46,STOP,0
47,CHANGE_OCCUPATION,Tech-support
47,CHANGE_RELATIONSHIP,Wife
47,STOP,0
48,CHANGE_EDUCATION,Doctorate
48,STOP,0
51,CHANGE_EDUCATION,Bachelors
51,STOP,0
53,CHANGE_WORKCLASS,Federal-gov
53,STOP,0
55,CHANGE_EDUCATION,Doctorate
55,CHANGE_OCCUPATION,Protective-serv
55,STOP,0
57,CHANGE_OCCUPATION,Craft-repair
57,STOP,0
58,CHANGE_RELATIONSHIP,Wife
58,CHANGE_WORKCLASS,Self-emp-inc
58,STOP,0
62,CHANGE_OCCUPATION,Prof-specialty
62,CHANGE_RELATIONSHIP,Wife
62,STOP,0
65,CHANGE_RELATIONSHIP,Wife
65,STOP,0
66,CHANGE_RELATIONSHIP,Wife
66,STOP,0
68,CHANGE_RELATIONSHIP,Wife
68,STOP,0
69,CHANGE_RELATIONSHIP,Wife
69,STOP,0
71,CHANGE_EDUCATION,10th
71,STOP,0
73,CHANGE_OCCUPATION,Prof-specialty
73,CHANGE_EDUCATION,Bachelors
73,STOP,0
74,CHANGE_WORKCLASS,Private
74,STOP,0
75,CHANGE_RELATIONSHIP,Wife
75,STOP,0
76,CHANGE_RELATIONSHIP,Wife
76,STOP,0
77,CHANGE_EDUCATION,Masters
77,STOP,0
78,CHANGE_OCCUPATION,Craft-repair
78,STOP,0
79,CHANGE_WORKCLASS,Self-emp-inc
79,STOP,0
80,CHANGE_RELATIONSHIP,Wife
80,STOP,0
81,CHANGE_OCCUPATION,Craft-repair
81,STOP,0
82,CHANGE_OCCUPATION,Prof-specialty
82,CHANGE_RELATIONSHIP,Wife
82,CHANGE_EDUCATION,10th
82,STOP,0
83,CHANGE_WORKCLASS,Federal-gov
83,STOP,0
84,CHANGE_EDUCATION,Masters
84,STOP,0
87,CHANGE_EDUCATION,Masters
87,CHANGE_RELATIONSHIP,Wife
87,STOP,0
88,CHANGE_EDUCATION,Masters
88,CHANGE_RELATIONSHIP,Wife
88,STOP,0
89,CHANGE_EDUCATION,Masters
89,STOP,0
91,CHANGE_RELATIONSHIP,Wife
91,CHANGE_WORKCLASS,Federal-gov
91,STOP,0
92,CHANGE_RELATIONSHIP,Wife
92,CHANGE_WORKCLASS,Federal-gov
92,STOP,0
93,CHANGE_RELATIONSHIP,Wife
93,STOP,0
96,CHANGE_RELATIONSHIP,Wife
96,CHANGE_WORKCLASS,Federal-gov
96,STOP,0
97,CHANGE_RELATIONSHIP,Wife
97,STOP,0
98,CHANGE_WORKCLASS,Federal-gov
98,STOP,0
