id,program,arguments
0,CHANGE_WORKCLASS,Federal-gov
0,CHANGE_EDUCATION,Prof-school
0,STOP,0
1,CHANGE_WORKCLASS,Federal-gov
1,CHANGE_EDUCATION,Prof-school
1,CHANGE_OCCUPATION,Tech-support
1,STOP,0
2,CHANGE_WORKCLASS,Private
2,CHANGE_EDUCATION,Prof-school
2,CHANGE_RELATIONSHIP,Wife
2,CHANGE_OCCUPATION,Prof-specialty
2,STOP,0
3,CHANGE_WORKCLASS,Private
3,CHANGE_EDUCATION,Prof-school
3,CHANGE_RELATIONSHIP,Wife
3,CHANGE_OCCUPATION,Prof-specialty
3,STOP,0
4,CHANGE_WORKCLASS,Federal-gov
4,CHANGE_EDUCATION,Prof-school
4,CHANGE_RELATIONSHIP,Wife
4,STOP,0
5,CHANGE_WORKCLASS,Private
5,CHANGE_EDUCATION,Prof-school
5,CHANGE_OCCUPATION,Prof-specialty
5,CHANGE_RELATIONSHIP,Wife
5,STOP,0
7,CHANGE_WORKCLASS,Federal-gov
7,CHANGE_EDUCATION,Prof-school
7,CHANGE_OCCUPATION,Prof-specialty
7,STOP,0
8,CHANGE_WORKCLASS,Federal-gov
8,STOP,0
9,CHANGE_WORKCLASS,Federal-gov
9,CHANGE_RELATIONSHIP,Own-child
9,CHANGE_EDUCATION,Prof-school
9,STOP,0
10,CHANGE_WORKCLASS,Private
10,CHANGE_EDUCATION,Prof-school
10,CHANGE_OCCUPATION,Prof-specialty
10,CHANGE_RELATIONSHIP,Wife
10,STOP,0
11,CHANGE_WORKCLASS,Federal-gov
11,STOP,0
12,CHANGE_WORKCLASS,Private
12,CHANGE_EDUCATION,Prof-school
12,CHANGE_OCCUPATION,Tech-support
12,CHANGE_RELATIONSHIP,Wife
12,STOP,0
13,CHANGE_WORKCLASS,Private
13,CHANGE_EDUCATION,Prof-school
13,CHANGE_RELATIONSHIP,Wife
13,CHANGE_OCCUPATION,Prof-specialty
13,STOP,0
14,CHANGE_WORKCLASS,Private
14,CHANGE_EDUCATION,Prof-school
14,STOP,0
15,CHANGE_WORKCLASS,Private
15,CHANGE_EDUCATION,Prof-school
15,CHANGE_OCCUPATION,Prof-specialty
15,STOP,0
16,CHANGE_WORKCLASS,Private
16,CHANGE_EDUCATION,Prof-school
16,CHANGE_OCCUPATION,Tech-support
16,STOP,0
17,CHANGE_WORKCLASS,Federal-gov
17,CHANGE_RELATIONSHIP,Own-child
17,CHANGE_EDUCATION,Prof-school
17,STOP,0
19,CHANGE_WORKCLASS,Federal-gov
19,CHANGE_RELATIONSHIP,Own-child
19,CHANGE_EDUCATION,Prof-school
19,STOP,0
20,CHANGE_WORKCLASS,Private
20,CHANGE_EDUCATION,Prof-school
20,CHANGE_RELATIONSHIP,Wife
20,CHANGE_OCCUPATION,Prof-specialty
20,STOP,0
21,CHANGE_WORKCLASS,Federal-gov
21,CHANGE_EDUCATION,Prof-school
21,STOP,0
22,CHANGE_WORKCLASS,Federal-gov
22,STOP,0
24,CHANGE_WORKCLASS,Private
24,CHANGE_EDUCATION,Prof-school
24,CHANGE_OCCUPATION,Tech-support
24,CHANGE_RELATIONSHIP,Wife
24,STOP,0
25,CHANGE_WORKCLASS,Private
25,CHANGE_EDUCATION,Prof-school
25,CHANGE_RELATIONSHIP,Wife
25,CHANGE_OCCUPATION,Prof-specialty
25,STOP,0
26,CHANGE_WORKCLASS,Federal-gov
26,CHANGE_EDUCATION,Prof-school
26,CHANGE_OCCUPATION,Prof-specialty
26,STOP,0
27,CHANGE_WORKCLASS,Private
27,CHANGE_EDUCATION,Prof-school
27,CHANGE_RELATIONSHIP,Wife
27,STOP,0
28,CHANGE_WORKCLASS,Federal-gov
28,CHANGE_EDUCATION,Prof-school
28,STOP,0
29,CHANGE_WORKCLASS,Federal-gov
29,CHANGE_EDUCATION,Prof-school
29,STOP,0
30,CHANGE_WORKCLASS,Federal-gov
30,CHANGE_RELATIONSHIP,Own-child
30,CHANGE_EDUCATION,Prof-school
30,STOP,0
31,CHANGE_WORKCLASS,Private
31,CHANGE_EDUCATION,Prof-school
31,CHANGE_OCCUPATION,Prof-specialty
31,CHANGE_RELATIONSHIP,Wife
31,STOP,0
32,CHANGE_WORKCLASS,Federal-gov
32,CHANGE_EDUCATION,Prof-school
32,CHANGE_OCCUPATION,Tech-support
32,CHANGE_RELATIONSHIP,Wife
32,STOP,0
33,CHANGE_WORKCLASS,Private
33,CHANGE_EDUCATION,Prof-school
33,CHANGE_OCCUPATION,Prof-specialty
33,CHANGE_RELATIONSHIP,Wife
33,STOP,0
34,CHANGE_WORKCLASS,Private
34,CHANGE_EDUCATION,Prof-school
34,STOP,0
35,CHANGE_WORKCLASS,Private
35,CHANGE_EDUCATION,Prof-school
35,CHANGE_OCCUPATION,Prof-specialty
35,CHANGE_RELATIONSHIP,Wife
35,STOP,0
37,CHANGE_WORKCLASS,Private
37,CHANGE_EDUCATION,Prof-school
37,CHANGE_OCCUPATION,Prof-specialty
37,CHANGE_RELATIONSHIP,Wife
37,STOP,0
38,CHANGE_WORKCLASS,Federal-gov
38,CHANGE_EDUCATION,Prof-school
38,CHANGE_OCCUPATION,Prof-specialty
38,STOP,0
40,CHANGE_WORKCLASS,Federal-gov
40,CHANGE_EDUCATION,Prof-school
40,STOP,0
41,CHANGE_WORKCLASS,Private
41,CHANGE_EDUCATION,Prof-school
41,CHANGE_OCCUPATION,Prof-specialty
41,STOP,0
42,CHANGE_WORKCLASS,Private
42,CHANGE_EDUCATION,Prof-school
42,CHANGE_RELATIONSHIP,Wife
42,STOP,0
43,CHANGE_WORKCLASS,Private
43,CHANGE_EDUCATION,Prof-school
43,CHANGE_RELATIONSHIP,Wife
43,CHANGE_OCCUPATION,Prof-specialty
43,STOP,0
44,CHANGE_WORKCLASS,Private
44,CHANGE_EDUCATION,Prof-school
44,CHANGE_OCCUPATION,Prof-specialty
44,STOP,0
45,CHANGE_WORKCLASS,Federal-gov
45,CHANGE_EDUCATION,Prof-school
45,STOP,0
46,CHANGE_WORKCLASS,Federal-gov
46,CHANGE_EDUCATION,Prof-school
46,STOP,0
47,CHANGE_WORKCLASS,Federal-gov
47,CHANGE_EDUCATION,Prof-school
47,STOP,0
48,CHANGE_WORKCLASS,Private
48,CHANGE_EDUCATION,Prof-school
48,CHANGE_OCCUPATION,Prof-specialty
48,CHANGE_RELATIONSHIP,Wife
48,STOP,0
49,CHANGE_WORKCLASS,Private
49,CHANGE_EDUCATION,Prof-school
49,CHANGE_OCCUPATION,Prof-specialty
49,CHANGE_RELATIONSHIP,Wife
49,STOP,0
50,CHANGE_WORKCLASS,Private
50,CHANGE_EDUCATION,Prof-school
50,CHANGE_OCCUPATION,Tech-support
50,STOP,0
51,CHANGE_WORKCLASS,Federal-gov
51,CHANGE_EDUCATION,Prof-school
51,STOP,0
52,CHANGE_WORKCLASS,Private
52,CHANGE_EDUCATION,Prof-school
52,CHANGE_OCCUPATION,Prof-specialty
52,CHANGE_RELATIONSHIP,Wife
52,STOP,0
53,CHANGE_WORKCLASS,Federal-gov
53,STOP,0
54,CHANGE_WORKCLASS,Private
54,CHANGE_EDUCATION,Prof-school
54,CHANGE_RELATIONSHIP,Wife
54,CHANGE_OCCUPATION,Prof-specialty
54,STOP,0
55,CHANGE_WORKCLASS,Private
55,CHANGE_EDUCATION,Prof-school
55,STOP,0
56,CHANGE_WORKCLASS,Federal-gov
56,CHANGE_EDUCATION,Prof-school
56,CHANGE_OCCUPATION,Tech-support
56,CHANGE_RELATIONSHIP,Wife
56,STOP,0
57,CHANGE_WORKCLASS,Federal-gov
57,CHANGE_RELATIONSHIP,Own-child
57,CHANGE_EDUCATION,Prof-school
57,STOP,0
58,CHANGE_WORKCLASS,Federal-gov
58,CHANGE_EDUCATION,Prof-school
58,STOP,0
59,CHANGE_WORKCLASS,Private
59,CHANGE_EDUCATION,Prof-school
59,CHANGE_OCCUPATION,Prof-specialty
59,CHANGE_RELATIONSHIP,Wife
59,STOP,0
60,CHANGE_WORKCLASS,Private
60,CHANGE_EDUCATION,Prof-school
60,CHANGE_RELATIONSHIP,Wife
60,STOP,0
61,CHANGE_WORKCLASS,Private
61,CHANGE_EDUCATION,Prof-school
61,CHANGE_OCCUPATION,Tech-support
61,STOP,0
62,CHANGE_WORKCLASS,Private
62,CHANGE_EDUCATION,Prof-school
62,CHANGE_OCCUPATION,Tech-support
62,STOP,0
63,CHANGE_WORKCLASS,Private
63,CHANGE_EDUCATION,Prof-school
63,CHANGE_RELATIONSHIP,Wife
63,CHANGE_OCCUPATION,Prof-specialty
63,STOP,0
64,CHANGE_WORKCLASS,Private
64,CHANGE_EDUCATION,Prof-school
