id,program,arguments
0,CHANGE_SAVINGS,moderate
0,STOP,0
1,CHANGE_PURPOSE,car
1,STOP,0
2,CHANGE_SAVINGS,moderate
2,STOP,0
3,CHANGE_SAVINGS,moderate
3,STOP,0
4,CHANGE_SAVINGS,moderate
4,STOP,0
5,CHANGE_JOB,skilled
5,CHANGE_SAVINGS,rich
5,STOP,0
6,CHANGE_SAVINGS,rich
6,STOP,0
7,CHANGE_SAVINGS,moderate
7,STOP,0
8,CHANGE_SAVINGS,rich
8,STOP,0
9,CHANGE_SAVINGS,rich
9,STOP,0
10,CHANGE_HOUSING,rent
10,STOP,0
11,CHANGE_JOB,unskilled_resident
11,STOP,0
12,CHANGE_SAVINGS,rich
12,STOP,0
13,CHANGE_SAVINGS,rich
13,STOP,0
14,CHANGE_SAVINGS,moderate
14,STOP,0
15,CHANGE_SAVINGS,moderate
15,STOP,0
16,CHANGE_SAVINGS,moderate
16,STOP,0
17,CHANGE_SAVINGS,rich
17,CHANGE_HOUSING,rent
17,STOP,0
18,CHANGE_SAVINGS,rich
18,STOP,0
19,CHANGE_HOUSING,rent
19,STOP,0
20,CHANGE_DURATION,10
20,STOP,0
21,CHANGE_DURATION,10
21,CHANGE_SAVINGS,moderate
21,STOP,0
22,CHANGE_SAVINGS,moderate
22,STOP,0
23,CHANGE_PURPOSE,car
23,CHANGE_SAVINGS,moderate
23,STOP,0
24,CHANGE_SAVINGS,rich
24,STOP,0
25,CHANGE_PURPOSE,repairs
25,STOP,0
26,CHANGE_SAVINGS,rich
26,STOP,0
27,CHANGE_SAVINGS,moderate
27,STOP,0
28,CHANGE_SAVINGS,rich
28,STOP,0
29,CHANGE_SAVINGS,moderate
29,STOP,0
30,CHANGE_SAVINGS,moderate
30,STOP,0
31,CHANGE_DURATION,10
31,STOP,0
32,CHANGE_SAVINGS,moderate
32,CHANGE_DURATION,10
32,STOP,0
33,CHANGE_SAVINGS,rich
33,CHANGE_HOUSING,rent
33,STOP,0
