id,program,arguments
0,CHANGE_SAVINGS,moderate
0,CHANGE_PURPOSE,vacation/others
0,STOP,0
1,CHANGE_SAVINGS,moderate
1,CHANGE_PURPOSE,vacation/others
1,STOP,0
2,CHANGE_SAVINGS,moderate
2,CHANGE_PURPOSE,vacation/others
2,STOP,0
3,CHANGE_SAVINGS,moderate
3,CHANGE_PURPOSE,vacation/others
3,STOP,0
4,CHANGE_SAVINGS,moderate
4,CHANGE_PURPOSE,vacation/others
4,STOP,0
5,CHANGE_DURATION,10
5,CHANGE_PURPOSE,vacation/others
5,STOP,0
6,CHANGE_SAVINGS,moderate
6,CHANGE_PURPOSE,vacation/others
6,STOP,0
7,CHANGE_SAVINGS,moderate
7,CHANGE_PURPOSE,vacation/others
7,STOP,0
8,CHANGE_SAVINGS,moderate
8,CHANGE_PURPOSE,vacation/others
8,STOP,0
9,CHANGE_SAVINGS,moderate
9,CHANGE_PURPOSE,vacation/others
9,STOP,0
10,CHANGE_SAVINGS,moderate
10,CHANGE_PURPOSE,vacation/others
10,STOP,0
11,CHANGE_SAVINGS,moderate
11,CHANGE_PURPOSE,vacation/others
11,STOP,0
12,CHANGE_SAVINGS,moderate
12,CHANGE_PURPOSE,vacation/others
12,STOP,0
13,CHANGE_SAVINGS,moderate
13,CHANGE_PURPOSE,vacation/others
13,STOP,0
14,CHANGE_SAVINGS,moderate
14,STOP,0
15,CHANGE_SAVINGS,moderate
15,CHANGE_PURPOSE,vacation/others
15,STOP,0
16,CHANGE_SAVINGS,moderate
16,CHANGE_PURPOSE,vacation/others
16,STOP,0
17,CHANGE_DURATION,10
17,CHANGE_PURPOSE,vacation/others
17,STOP,0
18,CHANGE_SAVINGS,moderate
18,CHANGE_PURPOSE,vacation/others
18,STOP,0
19,CHANGE_PURPOSE,vacation/others
19,STOP,0
20,CHANGE_SAVINGS,moderate
20,CHANGE_PURPOSE,vacation/others
20,STOP,0
21,CHANGE_SAVINGS,moderate
21,CHANGE_PURPOSE,vacation/others
21,STOP,0
22,CHANGE_SAVINGS,moderate
22,CHANGE_PURPOSE,vacation/others
22,STOP,0
23,CHANGE_SAVINGS,moderate
23,CHANGE_PURPOSE,vacation/others
23,STOP,0
24,CHANGE_SAVINGS,moderate
24,CHANGE_PURPOSE,vacation/others
24,STOP,0
25,CHANGE_PURPOSE,vacation/others
25,STOP,0
26,CHANGE_SAVINGS,moderate
26,CHANGE_PURPOSE,vacation/others
26,STOP,0
27,CHANGE_SAVINGS,moderate
27,STOP,0
28,CHANGE_DURATION,10
28,CHANGE_PURPOSE,vacation/others
28,STOP,0
29,CHANGE_SAVINGS,moderate
29,CHANGE_PURPOSE,vacation/others
29,STOP,0
30,CHANGE_SAVINGS,moderate
30,CHANGE_PURPOSE,vacation/others
30,STOP,0
31,CHANGE_PURPOSE,vacation/others
31,STOP,0
32,CHANGE_SAVINGS,moderate
32,CHANGE_PURPOSE,vacation/others
32,STOP,0
33,CHANGE_SAVINGS,moderate
33,CHANGE_PURPOSE,vacation/others
33,STOP,0
