id,program,arguments
4,CHANGE_JOB,manager
4,CHANGE_INCOME,30000
4,STOP,0
5,CHANGE_EDUCATION,triennale
5,CHANGE_JOB,impiegato
5,CHANGE_INCOME,10000
5,STOP,0
6,CHANGE_EDUCATION,triennale
6,CHANGE_JOB,impiegato
6,CHANGE_INCOME,20000
6,STOP,0
7,CHANGE_EDUCATION,triennale
7,CHANGE_INCOME,20000
7,STOP,0
8,CHANGE_JOB,manager
8,CHANGE_INCOME,30000
8,STOP,0
9,CHANGE_EDUCATION,triennale
9,CHANGE_JOB,impiegato
9,CHANGE_INCOME,30000
9,STOP,0
10,CHANGE_JOB,manager
10,CHANGE_INCOME,30000
10,STOP,0
12,CHANGE_INCOME,10000
12,STOP,0
13,CHANGE_JOB,manager
13,CHANGE_INCOME,30000
13,STOP,0
14,CHANGE_JOB,manager
14,CHANGE_INCOME,20000
14,STOP,0
16,CHANGE_INCOME,30000
16,STOP,0
17,CHANGE_JOB,manager
17,CHANGE_INCOME,30000
17,STOP,0
18,CHANGE_EDUCATION,triennale
18,CHANGE_JOB,impiegato
18,STOP,0
19,CHANGE_EDUCATION,triennale
19,STOP,0
20,CHANGE_INCOME,20000
20,CHANGE_EDUCATION,triennale
20,CHANGE_JOB,manager
20,STOP,0
22,CHANGE_INCOME,20000
22,CHANGE_JOB,impiegato
22,STOP,0
23,CHANGE_INCOME,10000
23,CHANGE_EDUCATION,triennale
23,CHANGE_JOB,impiegato
23,STOP,0
24,CHANGE_INCOME,10000
24,STOP,0
26,CHANGE_JOB,manager
26,CHANGE_INCOME,20000
26,STOP,0
27,CHANGE_JOB,manager
27,CHANGE_INCOME,30000
27,STOP,0
28,CHANGE_JOB,manager
28,CHANGE_INCOME,20000
28,STOP,0
29,CHANGE_JOB,impiegato
29,STOP,0
30,CHANGE_EDUCATION,triennale
30,STOP,0
31,CHANGE_EDUCATION,triennale
31,CHANGE_JOB,manager
31,CHANGE_INCOME,10000
31,STOP,0
32,CHANGE_JOB,manager
32,CHANGE_INCOME,30000
32,STOP,0
33,CHANGE_INCOME,5000
33,STOP,0
34,CHANGE_JOB,manager
34,CHANGE_INCOME,20000
34,STOP,0
35,CHANGE_JOB,impiegato
35,CHANGE_INCOME,20000
35,STOP,0
36,CHANGE_EDUCATION,triennale
36,CHANGE_JOB,manager
36,CHANGE_INCOME,30000
36,STOP,0
38,CHANGE_JOB,manager
38,CHANGE_INCOME,20000
38,STOP,0
39,CHANGE_INCOME,20000
39,STOP,0
40,CHANGE_JOB,impiegato
40,CHANGE_INCOME,30000
40,STOP,0
41,CHANGE_JOB,impiegato
41,CHANGE_INCOME,30000
41,STOP,0
42,CHANGE_JOB,manager
42,CHANGE_INCOME,30000
42,STOP,0
44,CHANGE_JOB,manager
44,CHANGE_INCOME,30000
44,STOP,0
45,CHANGE_INCOME,30000
45,CHANGE_JOB,impiegato
45,STOP,0
46,CHANGE_INCOME,20000
46,CHANGE_JOB,impiegato
46,STOP,0
47,CHANGE_EDUCATION,triennale
47,CHANGE_JOB,manager
47,CHANGE_INCOME,30000
47,STOP,0
48,CHANGE_JOB,manager
48,CHANGE_INCOME,30000
48,STOP,0
50,CHANGE_JOB,impiegato
50,CHANGE_INCOME,10000
50,STOP,0
51,CHANGE_INCOME,5000
51,CHANGE_JOB,impiegato
51,STOP,0
52,CHANGE_JOB,manager
52,CHANGE_INCOME,20000
52,STOP,0
53,CHANGE_INCOME,20000
53,CHANGE_JOB,manager
53,STOP,0
55,CHANGE_EDUCATION,triennale
55,CHANGE_INCOME,20000
55,STOP,0
56,CHANGE_JOB,impiegato
56,STOP,0
58,CHANGE_JOB,manager
58,CHANGE_INCOME,30000
58,STOP,0
59,CHANGE_JOB,manager
59,CHANGE_INCOME,20000
59,STOP,0
61,CHANGE_EDUCATION,triennale
61,CHANGE_JOB,impiegato
61,CHANGE_INCOME,10000
61,STOP,0
63,CHANGE_JOB,impiegato
63,STOP,0
64,CHANGE_EDUCATION,triennale
64,STOP,0
65,CHANGE_EDUCATION,triennale
65,CHANGE_JOB,impiegato
65,CHANGE_INCOME,10000
65,STOP,0
66,CHANGE_EDUCATION,triennale
66,CHANGE_JOB,manager
66,CHANGE_INCOME,30000
66,STOP,0
67,CHANGE_JOB,manager
67,CHANGE_INCOME,30000
67,STOP,0
68,CHANGE_JOB,manager
68,CHANGE_INCOME,30000
68,STOP,0
69,CHANGE_INCOME,10000
69,STOP,0
70,CHANGE_EDUCATION,triennale
70,CHANGE_JOB,manager
70,CHANGE_INCOME,30000
70,STOP,0
72,CHANGE_JOB,manager
72,CHANGE_EDUCATION,triennale
72,CHANGE_INCOME,30000
72,STOP,0
73,CHANGE_INCOME,10000
73,CHANGE_JOB,impiegato
73,STOP,0
74,CHANGE_JOB,impiegato
74,CHANGE_INCOME,20000
74,STOP,0
76,CHANGE_INCOME,20000
76,CHANGE_JOB,manager
76,STOP,0
78,CHANGE_EDUCATION,triennale
78,CHANGE_JOB,impiegato
78,CHANGE_INCOME,20000
78,STOP,0
80,CHANGE_EDUCATION,triennale
80,CHANGE_JOB,manager
80,CHANGE_INCOME,20000
80,STOP,0
81,CHANGE_JOB,manager
81,CHANGE_INCOME,30000
81,STOP,0
84,CHANGE_JOB,impiegato
84,STOP,0
85,CHANGE_INCOME,20000
85,CHANGE_JOB,manager
85,STOP,0
89,CHANGE_EDUCATION,triennale
89,CHANGE_JOB,manager
89,CHANGE_INCOME,30000
89,STOP,0
92,CHANGE_INCOME,5000
92,STOP,0
93,CHANGE_JOB,manager
93,CHANGE_EDUCATION,triennale
93,CHANGE_INCOME,40000
93,STOP,0
94,CHANGE_EDUCATION,triennale
94,STOP,0
95,CHANGE_INCOME,20000
95,STOP,0
96,CHANGE_JOB,manager
96,CHANGE_INCOME,20000
96,STOP,0
97,CHANGE_JOB,manager
97,CHANGE_INCOME,30000
97,STOP,0
98,CHANGE_JOB,manager
98,CHANGE_EDUCATION,triennale
98,CHANGE_INCOME,40000
98,STOP,0
