id,program,arguments
1,CHANGE_EDUCATION,triennale
1,CHANGE_JOB,manager
1,CHANGE_INCOME,30000
1,STOP,0
7,CHANGE_EDUCATION,triennale
7,CHANGE_INCOME,20000
7,STOP,0
8,CHANGE_JOB,manager
8,CHANGE_INCOME,30000
8,STOP,0
10,CHANGE_JOB,manager
10,CHANGE_INCOME,30000
10,STOP,0
12,CHANGE_INCOME,10000
12,STOP,0
16,CHANGE_INCOME,30000
16,STOP,0
17,CHANGE_JOB,manager
17,CHANGE_INCOME,30000
17,STOP,0
18,CHANGE_EDUCATION,triennale
18,CHANGE_JOB,impiegato
18,STOP,0
19,CHANGE_EDUCATION,triennale
19,STOP,0
20,CHANGE_JOB,manager
20,CHANGE_EDUCATION,triennale
20,CHANGE_INCOME,20000
20,STOP,0
22,CHANGE_INCOME,20000
22,CHANGE_JOB,impiegato
22,STOP,0
23,CHANGE_INCOME,10000
23,CHANGE_JOB,impiegato
23,CHANGE_EDUCATION,magistrale
23,STOP,0
24,CHANGE_INCOME,10000
24,STOP,0
28,CHANGE_JOB,manager
28,CHANGE_INCOME,20000
28,STOP,0
29,CHANGE_JOB,impiegato
29,STOP,0
30,CHANGE_EDUCATION,triennale
30,STOP,0
32,CHANGE_JOB,manager
32,CHANGE_INCOME,30000
32,STOP,0
33,CHANGE_INCOME,5000
33,STOP,0
34,CHANGE_JOB,manager
34,CHANGE_INCOME,20000
34,STOP,0
35,CHANGE_JOB,impiegato
35,CHANGE_INCOME,20000
35,STOP,0
36,CHANGE_EDUCATION,magistrale
36,CHANGE_JOB,manager
36,CHANGE_INCOME,30000
36,STOP,0
39,CHANGE_INCOME,20000
39,STOP,0
40,CHANGE_JOB,impiegato
40,CHANGE_INCOME,30000
40,STOP,0
41,CHANGE_JOB,impiegato
41,CHANGE_INCOME,30000
41,STOP,0
42,CHANGE_JOB,manager
42,CHANGE_INCOME,30000
42,STOP,0
44,CHANGE_JOB,manager
44,CHANGE_INCOME,30000
44,STOP,0
46,CHANGE_INCOME,30000
46,CHANGE_JOB,impiegato
46,STOP,0
47,CHANGE_JOB,manager
47,CHANGE_EDUCATION,triennale
47,CHANGE_INCOME,30000
47,STOP,0
48,CHANGE_JOB,manager
48,CHANGE_INCOME,30000
48,STOP,0
50,CHANGE_JOB,impiegato
50,CHANGE_INCOME,10000
50,STOP,0
52,CHANGE_JOB,manager
52,CHANGE_INCOME,20000
52,STOP,0
55,CHANGE_EDUCATION,triennale
55,CHANGE_INCOME,20000
55,STOP,0
56,CHANGE_JOB,impiegato
56,STOP,0
61,CHANGE_EDUCATION,triennale
61,CHANGE_INCOME,40000
61,CHANGE_JOB,manager
61,STOP,0
63,CHANGE_JOB,impiegato
63,STOP,0
64,CHANGE_EDUCATION,triennale
64,STOP,0
69,CHANGE_INCOME,10000
69,STOP,0
72,CHANGE_EDUCATION,triennale
72,CHANGE_JOB,manager
72,CHANGE_INCOME,40000
72,STOP,0
73,CHANGE_INCOME,10000
73,CHANGE_JOB,impiegato
73,STOP,0
74,CHANGE_JOB,impiegato
74,CHANGE_INCOME,20000
74,STOP,0
80,CHANGE_EDUCATION,triennale
80,CHANGE_JOB,manager
80,CHANGE_INCOME,40000
80,STOP,0
84,CHANGE_JOB,impiegato
84,STOP,0
89,CHANGE_JOB,manager
89,CHANGE_EDUCATION,triennale
89,CHANGE_INCOME,30000
89,STOP,0
92,CHANGE_INCOME,5000
92,STOP,0
93,CHANGE_EDUCATION,triennale
93,CHANGE_JOB,manager
93,CHANGE_INCOME,40000
93,STOP,0
94,CHANGE_EDUCATION,triennale
94,STOP,0
95,CHANGE_INCOME,20000
95,STOP,0
98,CHANGE_EDUCATION,triennale
98,CHANGE_JOB,manager
98,CHANGE_INCOME,40000
98,STOP,0
