id,program,arguments
0,CHANGE_JOB,impiegato
0,CHANGE_EDUCATION,triennale
0,CHANGE_INCOME,20000
0,CHANGE_RELATION,divorziato/a
0,CHANGE_INCOME,20000
0,CHANGE_INCOME,20000
0,STOP,0
1,CHANGE_EDUCATION,triennale
1,CHANGE_HOUSE,own
1,STOP,0
2,CHANGE_JOB,impiegato
2,CHANGE_EDUCATION,triennale
2,CHANGE_INCOME,20000
2,CHANGE_HOUSE,own
2,CHANGE_INCOME,20000
2,CHANGE_INCOME,20000
2,STOP,0
3,CHANGE_JOB,impiegato
3,CHANGE_EDUCATION,triennale
3,CHANGE_INCOME,20000
3,CHANGE_INCOME,20000
3,CHANGE_INCOME,20000
3,STOP,0
4,CHANGE_HOUSE,own
4,STOP,0
5,CHANGE_JOB,impiegato
5,CHANGE_EDUCATION,triennale
5,CHANGE_INCOME,20000
5,STOP,0
6,CHANGE_JOB,impiegato
6,CHANGE_EDUCATION,triennale
6,CHANGE_INCOME,20000
6,STOP,0
7,CHANGE_EDUCATION,triennale
7,CHANGE_INCOME,20000
7,STOP,0
8,CHANGE_HOUSE,own
8,STOP,0
9,CHANGE_JOB,impiegato
9,CHANGE_EDUCATION,triennale
9,CHANGE_INCOME,20000
9,CHANGE_INCOME,20000
9,STOP,0
10,CHANGE_JOB,impiegato
10,CHANGE_HOUSE,own
10,STOP,0
11,CHANGE_JOB,impiegato
11,CHANGE_EDUCATION,triennale
11,CHANGE_INCOME,20000
11,CHANGE_HOUSE,own
11,CHANGE_INCOME,20000
11,CHANGE_INCOME,20000
11,STOP,0
12,CHANGE_HOUSE,own
12,CHANGE_INCOME,20000
12,STOP,0
13,CHANGE_JOB,impiegato
13,CHANGE_HOUSE,own
13,STOP,0
14,CHANGE_HOUSE,own
14,STOP,0
15,CHANGE_JOB,impiegato
15,CHANGE_EDUCATION,triennale
15,CHANGE_INCOME,20000
15,CHANGE_HOUSE,own
15,CHANGE_INCOME,20000
15,CHANGE_INCOME,20000
15,STOP,0
17,CHANGE_JOB,impiegato
17,CHANGE_HOUSE,own
17,STOP,0
18,CHANGE_JOB,impiegato
18,CHANGE_EDUCATION,triennale
18,STOP,0
19,CHANGE_EDUCATION,triennale
19,STOP,0
20,CHANGE_EDUCATION,triennale
20,CHANGE_HOUSE,own
20,STOP,0
21,CHANGE_JOB,impiegato
21,CHANGE_EDUCATION,triennale
21,CHANGE_INCOME,20000
21,CHANGE_RELATION,divorziato/a
21,CHANGE_INCOME,20000
21,CHANGE_INCOME,20000
21,STOP,0
22,CHANGE_JOB,impiegato
22,CHANGE_INCOME,20000
22,STOP,0
23,CHANGE_JOB,impiegato
23,CHANGE_EDUCATION,triennale
23,CHANGE_INCOME,20000
23,STOP,0
24,CHANGE_HOUSE,own
24,CHANGE_INCOME,20000
24,STOP,0
25,CHANGE_JOB,impiegato
25,CHANGE_EDUCATION,triennale
25,CHANGE_HOUSE,own
25,CHANGE_INCOME,20000
25,STOP,0
26,CHANGE_HOUSE,own
26,STOP,0
27,CHANGE_HOUSE,own
27,STOP,0
28,CHANGE_JOB,impiegato
28,CHANGE_HOUSE,own
28,STOP,0
29,CHANGE_JOB,impiegato
29,STOP,0
30,CHANGE_EDUCATION,triennale
30,STOP,0
31,CHANGE_JOB,impiegato
31,CHANGE_EDUCATION,triennale
31,CHANGE_HOUSE,own
31,STOP,0
32,CHANGE_HOUSE,own
32,STOP,0
33,CHANGE_HOUSE,own
33,CHANGE_INCOME,20000
33,STOP,0
34,CHANGE_HOUSE,own
34,STOP,0
35,CHANGE_JOB,impiegato
35,CHANGE_INCOME,20000
35,STOP,0
36,CHANGE_EDUCATION,triennale
36,CHANGE_HOUSE,own
36,STOP,0
37,CHANGE_JOB,impiegato
37,CHANGE_EDUCATION,triennale
37,CHANGE_INCOME,20000
37,CHANGE_RELATION,divorziato/a
37,CHANGE_INCOME,20000
37,CHANGE_INCOME,20000
37,STOP,0
