id,program,arguments
3,CHANGE_INCOME,10000
3,CHANGE_JOB,manager
3,STOP,0
4,CHANGE_EDUCATION,triennale
4,STOP,0
8,CHANGE_EDUCATION,triennale
8,CHANGE_INCOME,10000
8,STOP,0
11,CHANGE_EDUCATION,triennale
11,CHANGE_JOB,impiegato
11,STOP,0
13,CHANGE_JOB,manager
13,STOP,0
15,CHANGE_INCOME,10000
15,CHANGE_EDUCATION,triennale
15,STOP,0
17,CHANGE_INCOME,20000
17,CHANGE_JOB,impiegato
17,STOP,0
18,CHANGE_INCOME,5000
18,CHANGE_JOB,impiegato
18,STOP,0
23,CHANGE_INCOME,20000
23,CHANGE_JOB,impiegato
23,STOP,0
26,CHANGE_INCOME,20000
26,CHANGE_JOB,impiegato
26,STOP,0
27,CHANGE_JOB,manager
27,CHANGE_INCOME,40000
27,STOP,0
32,CHANGE_JOB,manager
32,CHANGE_INCOME,40000
32,STOP,0
33,CHANGE_JOB,manager
33,STOP,0
34,CHANGE_INCOME,5000
34,STOP,0
35,CHANGE_INCOME,5000
35,STOP,0
36,CHANGE_EDUCATION,triennale
36,CHANGE_JOB,impiegato
36,STOP,0
37,CHANGE_JOB,impiegato
37,STOP,0
38,CHANGE_INCOME,5000
38,STOP,0
39,CHANGE_JOB,impiegato
39,CHANGE_INCOME,20000
39,STOP,0
40,CHANGE_JOB,manager
40,STOP,0
41,CHANGE_JOB,manager
41,CHANGE_INCOME,20000
41,STOP,0
42,CHANGE_INCOME,20000
42,CHANGE_JOB,manager
42,STOP,0
43,CHANGE_JOB,manager
43,CHANGE_INCOME,40000
43,STOP,0
44,CHANGE_EDUCATION,triennale
44,STOP,0
46,CHANGE_JOB,impiegato
46,STOP,0
47,CHANGE_JOB,manager
47,STOP,0
48,CHANGE_JOB,impiegato
48,CHANGE_INCOME,20000
48,STOP,0
49,CHANGE_EDUCATION,triennale
49,CHANGE_PURPOSE,education
49,CHANGE_JOB,manager
49,CHANGE_INCOME,40000
49,STOP,0
50,CHANGE_EDUCATION,triennale
50,STOP,0
52,CHANGE_INCOME,5000
52,STOP,0
53,CHANGE_INCOME,10000
53,CHANGE_EDUCATION,triennale
53,STOP,0
59,CHANGE_INCOME,10000
59,STOP,0
62,CHANGE_INCOME,10000
62,STOP,0
65,CHANGE_JOB,impiegato
65,CHANGE_INCOME,20000
65,STOP,0
66,CHANGE_EDUCATION,triennale
66,CHANGE_JOB,manager
66,CHANGE_INCOME,40000
66,STOP,0
67,CHANGE_JOB,impiegato
67,CHANGE_INCOME,5000
67,STOP,0
69,CHANGE_EDUCATION,triennale
69,CHANGE_JOB,manager
69,CHANGE_INCOME,20000
69,STOP,0
71,CHANGE_JOB,manager
71,STOP,0
72,CHANGE_JOB,manager
72,CHANGE_INCOME,40000
72,STOP,0
76,CHANGE_JOB,manager
76,CHANGE_EXPENSES,100
76,CHANGE_INCOME,40000
76,STOP,0
79,CHANGE_INCOME,10000
79,STOP,0
83,CHANGE_EDUCATION,triennale
83,CHANGE_INCOME,10000
83,STOP,0
84,CHANGE_JOB,manager
84,CHANGE_INCOME,20000
84,STOP,0
85,CHANGE_INCOME,20000
85,STOP,0
89,CHANGE_INCOME,20000
89,STOP,0
91,CHANGE_JOB,manager
91,CHANGE_INCOME,30000
91,STOP,0
96,CHANGE_JOB,impiegato
96,STOP,0
97,CHANGE_JOB,manager
97,CHANGE_INCOME,40000
97,STOP,0
