id,program,arguments
3,CHANGE_JOB,manager
3,CHANGE_EXPENSES,100
3,CHANGE_INCOME,10000
3,STOP,0
4,CHANGE_EDUCATION,triennale
4,STOP,0
6,CHANGE_JOB,manager
6,CHANGE_INCOME,20000
6,STOP,0
8,CHANGE_INCOME,10000
8,CHANGE_EDUCATION,triennale
8,STOP,0
11,CHANGE_PURPOSE,education
11,CHANGE_EDUCATION,triennale
11,CHANGE_JOB,impiegato
11,STOP,0
12,CHANGE_INCOME,40000
12,CHANGE_EDUCATION,triennale
12,CHANGE_JOB,manager
12,STOP,0
13,CHANGE_JOB,manager
13,STOP,0
15,CHANGE_PURPOSE,education
15,CHANGE_INCOME,10000
15,CHANGE_EDUCATION,triennale
15,STOP,0
17,CHANGE_JOB,impiegato
17,CHANGE_SAVINGS,5000
17,CHANGE_INCOME,20000
17,STOP,0
18,CHANGE_JOB,impiegato
18,CHANGE_INCOME,5000
18,STOP,0
23,CHANGE_JOB,impiegato
23,CHANGE_PURPOSE,education
23,CHANGE_INCOME,20000
23,STOP,0
26,CHANGE_INCOME,20000
26,CHANGE_PURPOSE,education
26,CHANGE_JOB,impiegato
26,STOP,0
27,CHANGE_JOB,manager
27,CHANGE_INCOME,40000
27,STOP,0
28,CHANGE_EDUCATION,triennale
28,CHANGE_JOB,manager
28,CHANGE_INCOME,30000
28,STOP,0
32,CHANGE_JOB,manager
32,CHANGE_INCOME,40000
32,STOP,0
34,CHANGE_INCOME,5000
34,STOP,0
35,CHANGE_INCOME,5000
35,STOP,0
37,CHANGE_JOB,impiegato
37,STOP,0
38,CHANGE_INCOME,10000
38,STOP,0
39,CHANGE_JOB,impiegato
39,CHANGE_EXPENSES,100
39,CHANGE_INCOME,20000
39,STOP,0
44,CHANGE_EDUCATION,triennale
44,STOP,0
46,CHANGE_JOB,impiegato
46,STOP,0
47,CHANGE_EXPENSES,200
47,CHANGE_JOB,manager
47,STOP,0
48,CHANGE_RELATION,single
48,CHANGE_INCOME,40000
48,CHANGE_EDUCATION,magistrale
48,CHANGE_JOB,impiegato
48,STOP,0
50,CHANGE_EDUCATION,triennale
50,STOP,0
52,CHANGE_INCOME,5000
52,STOP,0
53,CHANGE_INCOME,10000
53,CHANGE_EDUCATION,triennale
53,STOP,0
55,CHANGE_JOB,manager
55,CHANGE_INCOME,30000
55,CHANGE_EDUCATION,triennale
55,STOP,0
59,CHANGE_INCOME,10000
59,STOP,0
62,CHANGE_INCOME,10000
62,STOP,0
65,CHANGE_JOB,impiegato
65,CHANGE_INCOME,30000
65,STOP,0
67,CHANGE_INCOME,5000
67,CHANGE_PURPOSE,education
67,CHANGE_JOB,impiegato
67,STOP,0
71,CHANGE_JOB,manager
71,STOP,0
79,CHANGE_INCOME,10000
79,STOP,0
83,CHANGE_INCOME,10000
83,CHANGE_EDUCATION,triennale
83,STOP,0
85,CHANGE_INCOME,30000
85,STOP,0
89,CHANGE_INCOME,20000
89,STOP,0
91,CHANGE_JOB,manager
91,CHANGE_INCOME,30000
91,STOP,0
96,CHANGE_JOB,impiegato
96,STOP,0
97,CHANGE_RELATION,sposato/a
97,CHANGE_JOB,manager
97,CHANGE_INCOME,40000
97,STOP,0
