id,program,arguments
0,CHANGE_HOUSE,own
0,CHANGE_JOB,impiegato
0,CHANGE_INCOME,20000
0,STOP,0
1,CHANGE_EDUCATION,triennale
1,CHANGE_JOB,impiegato
1,CHANGE_INCOME,20000
1,STOP,0
2,CHANGE_JOB,impiegato
2,CHANGE_EDUCATION,triennale
2,CHANGE_PURPOSE,education
2,CHANGE_HOUSE,own
2,CHANGE_INCOME,50000
2,STOP,0
3,CHANGE_HOUSE,own
3,CHANGE_JOB,impiegato
3,STOP,0
4,CHANGE_EDUCATION,triennale
4,STOP,0
5,CHANGE_JOB,impiegato
5,CHANGE_EDUCATION,triennale
5,CHANGE_PURPOSE,education
5,CHANGE_HOUSE,own
5,CHANGE_INCOME,50000
5,STOP,0
6,CHANGE_HOUSE,own
6,CHANGE_JOB,impiegato
6,STOP,0
8,CHANGE_HOUSE,own
8,CHANGE_EDUCATION,triennale
8,CHANGE_JOB,ceo
8,CHANGE_INCOME,20000
8,STOP,0
9,CHANGE_EDUCATION,triennale
9,CHANGE_JOB,impiegato
9,CHANGE_INCOME,50000
9,STOP,0
10,CHANGE_HOUSE,own
10,CHANGE_EDUCATION,triennale
10,CHANGE_JOB,impiegato
10,CHANGE_INCOME,50000
10,STOP,0
11,CHANGE_EDUCATION,triennale
11,CHANGE_JOB,impiegato
11,STOP,0
12,CHANGE_HOUSE,own
12,CHANGE_EDUCATION,triennale
12,CHANGE_JOB,impiegato
12,CHANGE_INCOME,20000
12,STOP,0
13,CHANGE_JOB,ceo
13,STOP,0
14,CHANGE_HOUSE,own
14,CHANGE_EDUCATION,triennale
14,CHANGE_JOB,impiegato
14,CHANGE_INCOME,50000
14,STOP,0
15,CHANGE_EDUCATION,triennale
15,CHANGE_INCOME,20000
15,STOP,0
16,CHANGE_EDUCATION,triennale
16,CHANGE_JOB,impiegato
16,CHANGE_INCOME,50000
16,STOP,0
17,CHANGE_JOB,impiegato
17,CHANGE_INCOME,20000
17,STOP,0
18,CHANGE_JOB,impiegato
18,CHANGE_INCOME,20000
18,STOP,0
19,CHANGE_HOUSE,own
19,CHANGE_EDUCATION,triennale
19,CHANGE_JOB,impiegato
19,CHANGE_INCOME,20000
19,STOP,0
20,CHANGE_JOB,impiegato
20,CHANGE_EDUCATION,triennale
20,CHANGE_PURPOSE,education
20,CHANGE_HOUSE,own
20,CHANGE_INCOME,50000
20,STOP,0
22,CHANGE_EDUCATION,triennale
22,CHANGE_JOB,impiegato
22,CHANGE_INCOME,50000
22,STOP,0
23,CHANGE_JOB,impiegato
23,CHANGE_INCOME,20000
23,STOP,0
24,CHANGE_HOUSE,own
24,CHANGE_INCOME,20000
24,STOP,0
25,CHANGE_HOUSE,own
25,CHANGE_EDUCATION,triennale
25,STOP,0
26,CHANGE_JOB,impiegato
26,CHANGE_INCOME,20000
26,STOP,0
27,CHANGE_HOUSE,own
27,CHANGE_JOB,impiegato
27,CHANGE_INCOME,20000
27,STOP,0
28,CHANGE_HOUSE,own
28,CHANGE_EDUCATION,triennale
28,STOP,0
29,CHANGE_EDUCATION,triennale
29,CHANGE_JOB,impiegato
29,CHANGE_INCOME,50000
29,STOP,0
30,CHANGE_EDUCATION,triennale
30,CHANGE_JOB,impiegato
30,CHANGE_INCOME,50000
30,STOP,0
31,CHANGE_EDUCATION,triennale
31,CHANGE_JOB,impiegato
31,CHANGE_INCOME,50000
31,STOP,0
32,CHANGE_HOUSE,own
32,CHANGE_JOB,impiegato
32,CHANGE_INCOME,20000
32,STOP,0
33,CHANGE_JOB,ceo
33,STOP,0
34,CHANGE_JOB,ceo
34,CHANGE_INCOME,20000
34,STOP,0
35,CHANGE_HOUSE,own
35,CHANGE_JOB,ceo
35,CHANGE_INCOME,20000
35,STOP,0
36,CHANGE_EDUCATION,triennale
36,CHANGE_JOB,impiegato
36,STOP,0
37,CHANGE_JOB,impiegato
37,STOP,0
38,CHANGE_HOUSE,own
38,CHANGE_JOB,ceo
38,CHANGE_INCOME,20000
38,STOP,0
39,CHANGE_JOB,impiegato
39,CHANGE_INCOME,20000
39,STOP,0
40,CHANGE_JOB,ceo
40,STOP,0
41,CHANGE_HOUSE,own
41,STOP,0
42,CHANGE_HOUSE,own
42,STOP,0
43,CHANGE_HOUSE,own
43,CHANGE_JOB,impiegato
43,CHANGE_INCOME,20000
43,STOP,0
44,CHANGE_EDUCATION,triennale
44,STOP,0
45,CHANGE_HOUSE,own
45,CHANGE_EDUCATION,triennale
45,CHANGE_JOB,impiegato
45,CHANGE_INCOME,20000
45,STOP,0
46,CHANGE_JOB,impiegato
46,STOP,0
47,CHANGE_JOB,ceo
47,STOP,0
48,CHANGE_JOB,impiegato
48,CHANGE_INCOME,20000
48,STOP,0
49,CHANGE_HOUSE,own
49,CHANGE_EDUCATION,triennale
49,CHANGE_JOB,impiegato
49,CHANGE_INCOME,20000
49,STOP,0
