age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,predicted
30,male,skilled,rent,little,unknown,1740,6,radio/TV,good,good
27,male,highly_skilled,own,little,moderate,14027,60,car,bad,bad
35,male,highly_skilled,own,little,unknown,2670,24,car,good,good
29,female,skilled,own,little,unknown,518,6,radio/TV,good,good
34,male,skilled,free,unknown,unknown,6527,60,car,good,good
42,female,highly_skilled,free,little,moderate,8318,27,business,bad,bad
23,female,skilled,rent,little,unknown,7127,36,furniture/equipment,bad,bad
34,male,skilled,own,little,unknown,2320,18,radio/TV,good,good
28,male,skilled,own,little,little,4169,24,furniture/equipment,good,bad
30,female,skilled,own,little,unknown,8133,36,car,good,good
36,male,skilled,own,quite_rich,unknown,1262,15,domestic_appliances,good,good
42,male,skilled,free,moderate,unknown,1346,6,radio/TV,good,good
37,female,unskilled_resident,own,little,little,1274,12,car,bad,bad
30,female,skilled,own,little,moderate,918,9,furniture/equipment,bad,bad
36,male,highly_skilled,own,quite_rich,moderate,2366,12,car,good,good
31,male,highly_skilled,own,unknown,unknown,8947,36,car,good,good
37,female,skilled,own,little,little,609,6,car,good,bad
58,male,skilled,own,unknown,unknown,1867,30,radio/TV,good,good
23,female,unskilled_resident,rent,little,unknown,601,4,furniture/equipment,good,good
33,male,unskilled_resident,rent,little,moderate,2384,36,repairs,bad,bad
34,female,highly_skilled,own,little,moderate,2064,24,furniture/equipment,bad,bad
45,male,unskilled_resident,own,unknown,unknown,1287,10,car,good,good
26,female,skilled,rent,little,little,3114,18,furniture/equipment,bad,bad
31,female,skilled,own,little,little,1957,6,radio/TV,good,bad
24,female,skilled,free,little,moderate,5743,24,education,good,bad
60,male,skilled,own,rich,unknown,1940,24,car,good,good
22,female,skilled,rent,little,little,1858,12,furniture/equipment,good,bad
32,male,skilled,own,rich,moderate,2745,21,furniture/equipment,good,good
30,male,highly_skilled,own,unknown,little,14179,39,furniture/equipment,good,bad
31,male,skilled,own,unknown,little,6350,30,furniture/equipment,bad,bad
52,male,highly_skilled,own,unknown,moderate,6468,12,radio/TV,bad,bad
22,male,skilled,free,little,little,3149,24,furniture/equipment,good,bad
26,male,skilled,own,quite_rich,moderate,1158,12,radio/TV,good,good
26,male,skilled,own,little,rich,1925,24,furniture/equipment,good,good
21,female,skilled,rent,little,little,1049,18,furniture/equipment,good,bad
22,female,skilled,own,little,moderate,5951,48,radio/TV,bad,bad
61,male,unskilled_resident,rent,moderate,moderate,2767,21,business,bad,bad
46,female,skilled,rent,little,little,1845,15,furniture/equipment,good,bad
26,male,skilled,own,little,little,4370,42,radio/TV,bad,bad
25,female,skilled,own,unknown,moderate,2762,12,furniture/equipment,bad,bad
40,male,highly_skilled,own,little,little,3857,30,car,good,good
27,female,skilled,own,moderate,unknown,1237,6,radio/TV,good,good
24,female,skilled,rent,little,little,1207,24,car,bad,bad
57,male,skilled,free,little,moderate,2225,36,car,bad,bad
45,male,highly_skilled,own,little,unknown,6761,6,car,good,good
31,male,skilled,own,little,unknown,2775,18,car,bad,good
28,male,skilled,own,little,unknown,2169,18,business,bad,bad
23,female,skilled,rent,little,little,1216,18,car,bad,bad
49,male,unskilled_resident,own,little,moderate,3124,12,car,good,good
26,male,unskilled_resident,own,little,moderate,590,6,radio/TV,good,good
36,male,skilled,own,little,little,1721,15,car,good,bad
24,female,skilled,rent,little,little,4308,48,business,bad,bad
20,female,skilled,own,little,moderate,1967,24,radio/TV,good,good
22,female,skilled,rent,moderate,unknown,2301,9,furniture/equipment,good,good
44,male,skilled,own,unknown,unknown,3485,20,car,good,good
35,male,skilled,rent,moderate,unknown,1204,6,car,good,good
20,male,skilled,rent,little,moderate,585,12,radio/TV,good,bad
63,male,skilled,own,little,little,2957,24,car,good,good
27,male,unskilled_resident,own,unknown,unknown,1309,10,car,bad,good
49,male,skilled,free,unknown,little,2964,24,car,good,good
24,female,skilled,own,little,little,3190,18,radio/TV,bad,bad
64,female,skilled,own,moderate,unknown,1409,13,radio/TV,good,good
48,male,skilled,own,little,little,1082,12,car,bad,bad
35,male,unskilled_resident,free,unknown,unknown,9055,36,education,good,good
33,male,skilled,own,little,unknown,2058,24,repairs,good,good
44,male,skilled,free,little,unknown,5507,24,repairs,good,good
66,male,unskilled_resident,own,quite_rich,moderate,766,12,radio/TV,bad,bad
23,female,unskilled_resident,rent,moderate,moderate,841,12,business,good,bad
26,male,skilled,own,little,little,1345,18,radio/TV,bad,bad
21,male,unskilled_resident,own,little,little,6568,24,business,good,bad
33,female,skilled,own,little,little,1131,18,furniture/equipment,bad,bad
23,female,skilled,rent,little,little,1442,24,car,bad,bad
33,female,unskilled_resident,own,unknown,unknown,797,12,radio/TV,bad,good
34,male,skilled,own,little,unknown,1950,18,business,good,bad
28,male,unskilled_resident,own,little,unknown,2993,21,car,good,good
35,male,skilled,own,little,unknown,5842,36,car,good,good
29,female,unskilled_resident,rent,little,little,1659,24,radio/TV,bad,bad
48,male,skilled,own,moderate,little,1288,9,repairs,good,good
29,male,unskilled_resident,own,unknown,rich,1494,4,car,good,good
49,male,skilled,own,little,moderate,8386,30,furniture/equipment,bad,bad
27,male,highly_skilled,free,unknown,moderate,9157,60,radio/TV,good,bad
28,male,unskilled_resident,own,little,little,1797,13,business,good,bad
27,male,skilled,rent,unknown,unknown,7980,36,business,bad,bad
23,male,skilled,rent,little,moderate,1534,12,radio/TV,bad,bad
38,male,skilled,free,unknown,moderate,6681,48,business,good,good
25,male,skilled,own,little,little,2136,9,furniture/equipment,good,bad
40,male,highly_skilled,rent,little,rich,1905,15,education,good,good
30,male,highly_skilled,own,moderate,moderate,1919,30,radio/TV,bad,bad
49,male,skilled,own,unknown,unknown,2331,12,radio/TV,good,good
41,male,highly_skilled,own,unknown,unknown,6313,24,car,good,good
43,male,unskilled_resident,own,little,little,1344,12,car,good,good
39,male,highly_skilled,free,little,little,3249,36,car,good,good
23,male,unskilled_resident,own,little,moderate,1048,10,radio/TV,good,good
35,female,unskilled_resident,own,quite_rich,unknown,3447,12,education,good,good
32,male,skilled,free,rich,moderate,1136,9,education,bad,bad
49,male,unskilled_resident,own,little,unknown,640,12,car,good,good
28,male,skilled,own,little,moderate,3060,48,radio/TV,bad,bad
29,male,unskilled_resident,own,little,little,3590,12,furniture/equipment,good,good
63,male,skilled,own,unknown,unknown,1520,15,furniture/equipment,good,good
47,male,skilled,free,unknown,little,8335,36,car,bad,bad
38,female,skilled,own,unknown,unknown,1240,12,radio/TV,good,good
27,male,unskilled_resident,own,little,little,1168,12,car,good,bad
23,female,unskilled_non_resident,rent,quite_rich,little,1352,6,car,good,good
29,female,unskilled_non_resident,rent,little,little,1193,24,car,bad,bad
37,female,skilled,rent,little,little,7685,48,business,bad,bad
42,male,skilled,free,little,moderate,6288,60,education,bad,bad
41,male,skilled,own,moderate,moderate,2503,30,business,good,good
23,male,skilled,own,little,rich,3913,36,radio/TV,good,good
34,male,highly_skilled,own,little,unknown,6614,36,car,good,good
32,male,skilled,own,little,moderate,6078,12,car,good,good
23,female,unskilled_resident,own,little,moderate,2101,13,radio/TV,good,good
38,male,skilled,own,unknown,moderate,754,12,education,good,good
23,female,skilled,own,little,little,1498,12,radio/TV,good,bad
36,male,skilled,own,quite_rich,unknown,4042,42,furniture/equipment,good,good
50,male,skilled,free,little,moderate,6224,48,education,bad,bad
38,male,skilled,free,little,rich,947,24,car,bad,bad
26,male,skilled,own,unknown,unknown,5248,21,car,good,good
50,male,skilled,own,little,little,5293,27,business,bad,bad
53,male,skilled,own,unknown,unknown,2424,24,radio/TV,good,good
28,female,skilled,rent,little,little,1403,15,car,good,bad
