age,education,job,income,house,credit,sex,relationship,country,loan
51,magistrale,ceo,112211,own,23948,male,divorziato/a,europa,good
36,magistrale,manager,79458,own,30437,male,divorziato/a,europa,bad
32,triennale,impiegato,52086,own,36181,male,vedovo/a,europa,good
39,triennale,impiegato,38694,own,44217,male,sposato/a,europa,bad
56,magistrale,impiegato,45799,own,33013,male,divorziato/a,extra-europa,bad
57,phd,manager,61986,rent,4692,female,divorziato/a,europa,bad
59,phd,privato,47100,own,8791,female,divorziato/a,extra-europa,bad
31,magistrale,impiegato,66905,rent,36186,female,sposato/a,italia,bad
40,triennale,impiegato,68411,own,31470,female,sposato/a,extra-europa,good
30,magistrale,manager,70022,own,10115,female,sposato/a,europa,bad
36,triennale,disoccupato,9000,none,25702,female,sposato/a,europa,bad
41,magistrale,privato,51778,rent,28172,female,single,europa,bad
50,phd,impiegato,57287,rent,5798,female,sposato/a,italia,bad
36,magistrale,impiegato,49876,rent,21809,male,divorziato/a,extra-europa,bad
41,magistrale,privato,48740,rent,24939,male,divorziato/a,italia,bad
48,diploma,operaio,44808,rent,45878,male,vedovo/a,europa,bad
34,triennale,manager,71187,rent,32309,female,sposato/a,italia,bad
57,nessuno,privato,54142,rent,48985,female,vedovo/a,extra-europa,bad
59,diploma,impiegato,71966,rent,48919,female,sposato/a,europa,bad
48,diploma,operaio,35483,rent,25324,male,divorziato/a,italia,bad
49,magistrale,privato,69896,own,24480,male,sposato/a,extra-europa,bad
32,magistrale,ceo,109375,rent,2587,male,divorziato/a,europa,good
48,magistrale,manager,80122,rent,26912,male,divorziato/a,europa,good
55,diploma,operaio,55762,rent,48462,female,divorziato/a,europa,bad
36,diploma,impiegato,56990,rent,44353,male,single,italia,bad
56,triennale,manager,71572,rent,17614,female,divorziato/a,italia,bad
45,nessuno,disoccupato,9000,none,7699,male,divorziato/a,extra-europa,bad
57,nessuno,disoccupato,9000,rent,39551,male,sposato/a,italia,bad
59,triennale,privato,60112,rent,15667,male,sposato/a,italia,bad
53,diploma,operaio,54457,own,43062,male,vedovo/a,italia,bad
49,phd,impiegato,44745,rent,47775,male,sposato/a,italia,bad
49,triennale,privato,54744,rent,42740,male,divorziato/a,italia,bad
57,phd,privato,46473,own,33522,female,sposato/a,italia,bad
44,triennale,manager,78168,rent,1298,male,vedovo/a,italia,bad
31,nessuno,disoccupato,9000,own,44603,female,sposato/a,europa,bad
49,diploma,operaio,51254,own,13438,male,divorziato/a,italia,bad
40,nessuno,operaio,34500,rent,27219,female,sposato/a,extra-europa,bad
41,nessuno,disoccupato,9000,none,48389,male,vedovo/a,italia,bad
58,phd,manager,87004,rent,4166,male,divorziato/a,italia,good
42,nessuno,disoccupato,9000,rent,7039,female,vedovo/a,extra-europa,bad
49,triennale,manager,64886,rent,11207,female,sposato/a,italia,bad
38,nessuno,disoccupato,9000,none,12633,male,sposato/a,europa,bad
31,magistrale,privato,45701,own,6060,female,sposato/a,italia,bad
42,nessuno,disoccupato,9000,own,7265,male,vedovo/a,europa,bad
34,magistrale,manager,73245,rent,23820,male,divorziato/a,extra-europa,bad
37,nessuno,operaio,17748,none,25334,female,divorziato/a,extra-europa,bad
44,phd,impiegato,66107,own,17356,female,sposato/a,extra-europa,good
52,phd,impiegato,59938,rent,31381,male,divorziato/a,extra-europa,bad
35,triennale,impiegato,48659,rent,39489,female,divorziato/a,extra-europa,bad
47,diploma,privato,50757,rent,40316,male,divorziato/a,europa,bad
48,diploma,operaio,48707,own,1367,male,sposato/a,europa,bad
59,magistrale,privato,62777,rent,48731,female,sposato/a,italia,bad
35,triennale,privato,40299,own,19720,male,single,europa,bad
31,triennale,manager,78610,rent,13058,male,vedovo/a,italia,bad
53,nessuno,disoccupato,9000,rent,29628,male,divorziato/a,italia,bad
46,triennale,manager,71827,rent,11572,male,divorziato/a,europa,bad
41,triennale,manager,69113,rent,3276,female,single,extra-europa,bad
41,diploma,privato,42963,rent,43638,male,sposato/a,extra-europa,bad
37,phd,ceo,112335,rent,31174,female,single,europa,good
31,phd,manager,80488,own,8164,female,divorziato/a,europa,good
