age,education,job,income,house,credit,sex,relationship,country,savings,purpose,credit_score,expenses,loan
51,magistrale,ceo,112211,own,23948,male,divorziato/a,europa,99458,car,6,3940,good
56,triennale,impiegato,67126,rent,30001,female,vedovo/a,europa,57829,car,1,1461,bad
52,triennale,impiegato,68139,rent,38860,female,divorziato/a,extra-europa,43240,furniture,3,1107,bad
37,phd,manager,61986,rent,9575,male,sposato/a,italia,88156,car,3,2986,bad
49,diploma,impiegato,49095,own,48865,female,sposato/a,extra-europa,48960,car,4,1346,bad
47,phd,impiegato,45934,rent,3719,male,sposato/a,extra-europa,68411,education,6,1150,bad
30,magistrale,manager,71982,rent,11711,female,sposato/a,europa,65959,car,3,2824,bad
36,diploma,operaio,31911,own,37969,female,divorziato/a,europa,30302,house,1,902,bad
31,magistrale,impiegato,46699,rent,249,male,sposato/a,italia,72610,furniture,3,1246,bad
57,phd,ceo,103759,rent,39332,male,single,europa,102459,car,5,3992,good
59,phd,ceo,104971,rent,36211,female,sposato/a,europa,95509,education,2,4065,bad
31,magistrale,manager,71455,rent,28980,male,divorziato/a,extra-europa,83697,house,2,3098,bad
53,magistrale,impiegato,60822,rent,11331,female,single,europa,72437,car,3,1309,bad
59,nessuno,manager,99003,rent,29991,female,vedovo/a,europa,100361,house,1,2926,bad
33,triennale,manager,76627,rent,43600,male,sposato/a,europa,90944,house,3,2972,bad
47,magistrale,impiegato,67550,rent,23627,female,divorziato/a,europa,64691,car,3,1335,bad
34,phd,impiegato,60612,rent,15954,male,single,extra-europa,74177,car,4,1367,bad
45,nessuno,disoccupato,9000,none,7699,male,divorziato/a,extra-europa,9000,house,0,573,bad
58,nessuno,disoccupato,9000,own,32447,female,divorziato/a,europa,9000,car,0,524,bad
49,diploma,manager,79356,rent,22233,female,single,extra-europa,85973,house,0,2924,bad
49,diploma,ceo,96475,rent,19479,female,sposato/a,italia,81778,house,2,3951,bad
59,triennale,ceo,105899,rent,46068,male,vedovo/a,italia,102734,house,3,3742,good
37,nessuno,impiegato,74609,rent,25575,female,divorziato/a,extra-europa,56980,house,6,1148,bad
55,nessuno,disoccupato,9000,none,41530,female,sposato/a,europa,9000,car,5,357,bad
34,diploma,impiegato,61855,own,38494,female,single,italia,60045,car,4,1283,bad
53,phd,impiegato,64900,own,3058,female,sposato/a,europa,55017,education,6,1330,good
59,diploma,operaio,25977,own,12633,male,divorziato/a,europa,41823,house,0,888,bad
42,nessuno,disoccupato,9000,rent,27534,male,vedovo/a,italia,9000,car,2,622,bad
52,triennale,ceo,101711,rent,7835,female,divorziato/a,italia,103616,house,4,3985,good
40,triennale,operaio,40298,rent,45439,male,sposato/a,italia,50959,house,2,881,bad
50,phd,impiegato,58984,rent,21448,female,vedovo/a,extra-europa,60884,car,5,1257,good
44,magistrale,privato,40276,rent,39489,male,sposato/a,extra-europa,34030,furniture,5,1479,bad
34,diploma,operaio,40858,rent,23089,female,divorziato/a,italia,30466,car,5,771,bad
49,nessuno,disoccupato,9000,rent,16071,female,single,italia,9000,furniture,5,588,bad
48,phd,impiegato,53263,rent,27136,female,sposato/a,extra-europa,59936,house,3,1151,bad
37,diploma,privato,44624,rent,18515,male,divorziato/a,italia,44289,furniture,6,1435,bad
39,magistrale,operaio,24233,own,30107,male,single,europa,46218,house,1,691,bad
52,diploma,impiegato,61939,rent,31174,female,vedovo/a,extra-europa,59171,furniture,5,1262,bad
31,triennale,impiegato,64896,rent,42306,female,divorziato/a,italia,55914,furniture,6,1331,good
37,nessuno,impiegato,59026,rent,20923,male,divorziato/a,europa,56563,furniture,1,1415,bad
43,phd,manager,75796,rent,9667,female,sposato/a,extra-europa,64755,education,5,2804,bad
39,phd,ceo,108610,rent,10073,male,divorziato/a,europa,91246,house,1,3942,bad
41,diploma,impiegato,67731,rent,20852,female,sposato/a,europa,63341,furniture,5,1220,bad
34,phd,manager,83734,rent,41077,male,single,extra-europa,59394,education,4,2796,good
40,phd,ceo,97064,rent,37922,male,sposato/a,italia,111288,education,4,4022,good
32,phd,impiegato,74515,own,29356,male,sposato/a,italia,57196,education,5,1183,good
39,triennale,manager,84676,own,45196,female,vedovo/a,europa,102467,furniture,3,3056,good
55,triennale,privato,65393,own,48607,female,vedovo/a,italia,58366,furniture,5,1547,bad
31,diploma,impiegato,55616,rent,20970,male,single,europa,70551,car,6,1297,bad
59,magistrale,impiegato,70528,own,28206,male,sposato/a,europa,74808,furniture,5,1207,good
42,triennale,operaio,40785,rent,33242,male,sposato/a,italia,38391,furniture,1,1036,bad
58,diploma,impiegato,66226,rent,25412,female,sposato/a,italia,44186,house,1,1265,bad
31,diploma,impiegato,70800,rent,1798,female,divorziato/a,europa,52841,car,1,1253,bad
54,triennale,manager,83114,rent,19797,male,divorziato/a,italia,81730,car,5,3037,good
53,triennale,manager,76928,own,26415,female,single,europa,98583,car,4,2952,bad
31,phd,manager,84570,rent,22300,female,divorziato/a,extra-europa,100707,furniture,6,3240,good
45,nessuno,privato,50321,rent,37138,male,vedovo/a,italia,45479,house,5,1382,bad
37,magistrale,privato,53608,rent,44654,male,divorziato/a,europa,38429,furniture,3,1575,bad
41,triennale,privato,42543,rent,48950,male,vedovo/a,extra-europa,36275,house,6,1527,bad
31,nessuno,impiegato,56167,rent,6984,female,single,extra-europa,68243,car,6,1157,bad
41,nessuno,operaio,34128,rent,22606,female,single,italia,45991,car,4,693,bad
38,phd,privato,39597,rent,12397,female,sposato/a,italia,53986,car,4,1521,bad
32,magistrale,impiegato,71298,own,26148,female,single,extra-europa,65089,car,2,1342,bad
46,nessuno,disoccupato,9000,rent,3681,male,sposato/a,extra-europa,9000,car,5,698,bad
53,nessuno,disoccupato,9000,none,18411,male,sposato/a,italia,9000,car,5,420,bad
53,diploma,privato,36991,own,43554,female,sposato/a,italia,57580,house,2,1611,bad
41,nessuno,disoccupato,9000,none,44105,male,divorziato/a,extra-europa,9000,house,3,418,bad
55,phd,impiegato,71585,rent,36570,male,vedovo/a,italia,54777,education,0,1438,bad
49,diploma,privato,37806,own,9501,male,divorziato/a,extra-europa,43923,house,4,1404,bad
38,phd,ceo,101739,rent,12275,male,sposato/a,italia,109064,furniture,6,3916,good
42,diploma,privato,58237,rent,24009,male,sposato/a,extra-europa,66925,furniture,2,1503,bad
35,magistrale,privato,42109,own,43262,female,sposato/a,italia,41684,car,1,1695,bad
35,nessuno,impiegato,50569,own,39671,male,sposato/a,europa,64745,house,6,1288,bad
36,diploma,privato,49806,rent,21290,female,divorziato/a,italia,55914,house,4,1394,bad
45,phd,ceo,98800,rent,20990,male,sposato/a,extra-europa,94017,education,6,4052,good
41,diploma,manager,89111,rent,47701,male,divorziato/a,europa,92417,furniture,6,2877,bad
41,triennale,impiegato,68818,rent,30276,female,divorziato/a,italia,53659,car,1,1348,bad
44,nessuno,disoccupato,9000,own,22414,female,sposato/a,europa,9000,house,2,692,bad
59,diploma,manager,75539,own,39842,male,sposato/a,europa,73604,house,5,3011,bad
43,phd,disoccupato,9000,none,24815,male,single,europa,9000,house,5,340,bad
43,nessuno,disoccupato,9000,rent,34817,male,divorziato/a,europa,9000,furniture,2,439,bad
41,phd,impiegato,65815,rent,20334,male,sposato/a,extra-europa,59865,car,1,1190,bad
57,nessuno,manager,84457,rent,8231,female,vedovo/a,extra-europa,83850,car,2,3002,bad
56,phd,manager,85873,rent,25902,female,divorziato/a,extra-europa,43669,education,1,3154,bad
56,magistrale,impiegato,62076,rent,40502,female,vedovo/a,extra-europa,62868,house,6,1166,bad
51,nessuno,disoccupato,9000,none,20781,female,divorziato/a,italia,9000,house,3,693,bad
40,magistrale,privato,62432,rent,10652,female,sposato/a,italia,44826,house,6,1414,bad
43,triennale,impiegato,66820,rent,5602,female,sposato/a,europa,52617,car,6,1226,good
43,triennale,manager,86341,rent,34509,female,single,italia,98733,house,3,2974,good
59,phd,ceo,104498,rent,24257,male,vedovo/a,europa,76656,education,2,3821,bad
57,nessuno,operaio,54757,rent,27315,male,sposato/a,italia,46146,car,0,909,bad
33,diploma,operaio,42260,rent,18362,male,sposato/a,europa,47546,furniture,1,914,bad
32,phd,manager,58590,rent,22075,male,divorziato/a,europa,71769,house,6,2851,bad
51,nessuno,privato,59373,own,30848,female,sposato/a,italia,38004,furniture,6,1516,bad
30,magistrale,impiegato,49499,rent,13375,female,sposato/a,italia,55896,house,0,1127,bad
50,triennale,operaio,44638,own,19364,female,vedovo/a,extra-europa,39175,furniture,0,998,bad
32,nessuno,disoccupato,9000,none,27152,female,sposato/a,extra-europa,9000,house,6,319,bad
47,diploma,operaio,42090,own,22072,female,divorziato/a,extra-europa,33879,car,3,839,bad
37,magistrale,impiegato,73500,rent,34735,female,single,extra-europa,70080,furniture,0,1418,bad
37,diploma,operaio,33661,own,17475,female,divorziato/a,europa,41665,house,3,979,bad
45,nessuno,impiegato,61299,rent,5756,female,single,italia,44740,car,3,957,bad
30,triennale,operaio,49701,own,13064,male,sposato/a,italia,28396,car,2,792,bad
52,magistrale,impiegato,58754,rent,41655,female,vedovo/a,europa,60518,house,0,1241,bad
48,diploma,operaio,24615,own,29274,female,divorziato/a,italia,53111,car,1,1001,bad
42,diploma,operaio,51371,rent,36849,female,divorziato/a,europa,49422,house,1,1006,bad
34,nessuno,disoccupato,9000,own,39104,male,sposato/a,extra-europa,9000,house,6,502,bad
49,nessuno,disoccupato,9000,own,36829,male,single,italia,9000,furniture,2,434,bad
43,nessuno,privato,43389,rent,49389,female,sposato/a,italia,39309,house,5,1737,bad
35,phd,manager,84129,own,39806,male,divorziato/a,extra-europa,88233,car,6,2873,good
50,diploma,manager,82330,own,40556,female,sposato/a,europa,86376,furniture,3,2949,bad
49,nessuno,disoccupato,9000,none,39172,female,divorziato/a,italia,9000,house,5,327,bad
38,diploma,impiegato,65057,own,30915,male,divorziato/a,extra-europa,49988,house,5,1175,bad
44,nessuno,disoccupato,9000,rent,28425,female,sposato/a,europa,9000,house,3,493,bad
39,nessuno,disoccupato,9000,none,20861,male,single,extra-europa,9000,car,5,545,bad
32,phd,ceo,107019,rent,15404,female,single,europa,94631,car,0,4016,bad
37,phd,impiegato,47823,own,17444,female,divorziato/a,europa,74825,furniture,2,1486,bad
